Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-29,150.07,150.9,149.03,149.84,5368178.0,0.89,1.0,146.0529764559823,146.86075929371452,145.0408148279806,145.82913301902042,5368178.0
2017-08-28,151.94,152.39,150.43,151.39,6843168.0,0.0,1.0,146.99979082405602,147.43515942923457,145.53888728223475,146.4676736399489,6843168.0
2017-08-25,148.51,150.53,148.4,149.65,3047971.0,0.0,1.0,143.68131456680638,145.6356358611633,143.57489112998496,144.78424836659198,3047971.0
2017-08-24,149.73,150.6,147.98,148.25,3735364.0,0.0,1.0,144.8616472297348,145.7033598664133,143.168547098485,143.4297682615921,3735364.0
2017-08-23,148.58,149.48,147.4271,149.1,5235444.0,0.0,1.0,143.74903857205638,144.6197757824134,142.63362420558897,144.25213118248487,5235444.0
2017-08-22,149.29,150.58,149.29,149.91,3267404.0,0.0,1.0,144.43595348244915,145.68401015062759,144.43595348244915,145.03579467180626,3267404.0
2017-08-21,147.1,149.88,146.89,149.2,4222423.0,0.0,1.0,142.3171596039137,145.00677009812765,142.11398758816367,144.34887976141343,4222423.0
2017-08-18,149.61,149.61,146.96,147.49,6989147.0,0.0,1.0,144.74554893502057,144.74554893502057,142.1817115934137,142.69447906173505,6989147.0
2017-08-17,151.81,152.15,149.61,149.67,4460870.0,0.0,1.0,146.8740176714489,147.20296283980602,144.74554893502057,144.80359808237768,4460870.0
2017-08-16,151.45,152.95,151.16,152.25,6043303.0,0.0,1.0,146.52572278730602,147.97695147123449,146.24515190841325,147.29971141873457,6043303.0
2017-08-15,154.275,154.8,148.26,150.17,13528650.0,0.0,1.0,149.25887014203798,149.76680018141292,143.439443119485,145.28734097702048,13528650.0
2017-08-14,156.04,156.05,153.56,154.26,6662484.0,0.0,1.0,150.96648256012702,150.9761574180199,148.56711780269873,149.24435785519864,6662484.0
2017-08-11,154.11,155.72,153.98,154.88,3650541.0,0.0,1.0,149.0992349868058,150.6568871075556,148.97346183419867,149.84419904455572,3650541.0
2017-08-10,155.19,155.98,153.88,153.88,4432313.0,0.0,1.0,150.14411963923428,150.90843341276988,148.87671325527012,148.87671325527012,4432313.0
2017-08-09,153.35,155.57,153.32,155.26,3844857.0,0.0,1.0,148.36394578694873,150.5117642391628,148.33492121327018,150.21184364448425,3844857.0
2017-08-08,153.32,154.2,153.08,153.35,3218945.0,0.0,1.0,148.33492121327018,149.1863087078415,148.10272462384162,148.36394578694873,3218945.0
2017-08-07,152.83,154.47,152.47,153.35,3833620.0,0.0,1.0,147.86085317652027,149.4475298709486,147.5125582923774,148.36394578694873,3833620.0
2017-08-04,151.01,152.75,150.8,152.75,3258581.0,0.0,1.0,146.10002904002042,147.78345431337738,145.89685702427045,147.78345431337738,3258581.0
2017-08-03,150.7,152.03,150.5,150.79,5146465.0,0.0,1.0,145.80010844534186,147.08686454509174,145.60661128748475,145.88718216637756,5146465.0
